epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7723800539970398,0.5954557061195374,1e-05,0.7010603547096252,0.9158017635345459
1,0.774824321269989,0.5648504495620728,1e-05,0.7124795913696289,0.8806750774383545
2,0.7731948494911194,0.5542188286781311,1e-05,0.7112561464309692,0.8453385829925537
3,0.7919340133666992,0.526909351348877,1e-05,0.7039151787757874,0.9061968326568604
4,0.7958040237426758,0.49753811955451965,1e-05,0.7088091373443604,0.8717419505119324
5,0.8012017607688904,0.49615317583084106,1e-05,0.700652539730072,0.919299304485321
6,0.807923436164856,0.4658721685409546,5e-06,0.725122332572937,0.8576395511627197
7,0.8059883713722229,0.4743472933769226,5e-06,0.7124795913696289,0.8814175724983215
8,0.8097565770149231,0.4521963894367218,5e-06,0.7320554852485657,0.8285660147666931
9,0.8201445937156677,0.42883601784706116,5e-06,0.7283849716186523,0.8386800289154053
10,0.8156635165214539,0.4394654929637909,5e-06,0.7030994892120361,0.8799221515655518
11,0.8199409246444702,0.4341011643409729,5e-06,0.7267536520957947,0.8379473686218262
12,0.818413257598877,0.4281552731990814,2.5e-06,0.7214518785476685,0.866244375705719
13,0.8160708546638489,0.42309731245040894,2.5e-06,0.7296084761619568,0.8303722739219666
14,0.8234035968780518,0.40597566962242126,2.5e-06,0.7190048694610596,0.8706091642379761
15,0.8188206553459167,0.42630553245544434,1.25e-06,0.73001629114151,0.8325279355049133
16,0.8268662691116333,0.4088479280471802,1.25e-06,0.7267536520957947,0.8412074446678162
